Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
ASM3M|Arts médiatiques|11e année|Filière préuniversitaire/précollégiale|3248
ASM3O|Arts médiatiques|11e année|Ouvert|2275
ASM4E|Arts médiatiques|12e année|Filière préemploi|103
ASM4M|Arts médiatiques|12e année|Filière préuniversitaire/précollégiale|2336
ATB1O|Danse - ballet|9e année|Ouvert|267
ATB2O|Danse - ballet|10e année|Ouvert|305
ATB3M|Danse - ballet|11e année|Filière préuniversitaire/précollégiale|269
ATB4M|Danse - ballet|12e année|Filière préuniversitaire/précollégiale|162
ATC1O|Danse|9e année|Ouvert|3619
ATC2O|Danse|10e année|Ouvert|4356
ATC3M|Danse|11e année|Filière préuniversitaire/précollégiale|2315
ATC3O|Danse|11e année|Ouvert|482
ATC4E|Danse|12e année|Filière préemploi|12
ATC4M|Danse|12e année|Filière préuniversitaire/précollégiale|1624
ATD2O|Composition chorégraphique|10e année|Ouvert|11
ATD3M|Composition chorégraphique|11e année|Filière préuniversitaire/précollégiale|45
ATD3O|Composition chorégraphique|11e année|Ouvert|<10
ATD4M|Composition chorégraphique|12e année|Filière préuniversitaire/précollégiale|235
ATJ1O|Danse - jazz|9e année|Ouvert|<10
ATJ2O|Danse - jazz|10e année|Ouvert|103
ATJ3M|Danse - jazz|11e année|Filière préuniversitaire/précollégiale|36
ATJ3O|Danse - jazz|11e année|Ouvert|<10
ATJ4M|Danse - jazz|12e année|Filière préuniversitaire/précollégiale|16
ATL3M|Danse du Centre et du Sud de l'Amérique|11e année|Filière préuniversitaire/précollégiale|23
ATM1O|Danse moderne|9e année|Ouvert|251
ATM2O|Danse moderne|10e année|Ouvert|289
ATM3M|Danse moderne|11e année|Filière préuniversitaire/précollégiale|220
ATM4M|Danse moderne|12e année|Filière préuniversitaire/précollégiale|217
ATO2O|Danse de l'Asie/du Cercle du Pacifique|10e année|Ouvert|14
ATO3M|Danse de l'Asie/du Cercle du Pacifique|11e année|Filière préuniversitaire/précollégiale|<10
ATO3O|Danse de l'Asie/du Cercle du Pacifique|11e année|Ouvert|23
ATO4M|Danse de l'Asie/du Cercle du Pacifique|12e année|Filière préuniversitaire/précollégiale|14
ATP1O|Danse - répétition de spectacle|9e année|Ouvert|174
ATP2O|Danse - répétition de spectacle|10e année|Ouvert|235
ATP3M|Danse - répétition de spectacle|11e année|Filière préuniversitaire/précollégiale|265
ATP3O|Danse - répétition de spectacle|11e année|Ouvert|12
ATP4M|Danse - répétition de spectacle|12e année|Filière préuniversitaire/précollégiale|290
ATR1O|Danse urbaine et hip-hop|9e année|Ouvert|<10
ATR3M|Danse urbaine et hip-hop|11e année|Filière préuniversitaire/précollégiale|20
ATS3O|Danse de divertissement : danses populaires|11e année|Ouvert|<10
ATS4M|Danse de divertissement : danses populaires|12e année|Filière préuniversitaire/précollégiale|<10
ATU2O|Danse de comédie musicale|10e année|Ouvert|<10
ATU3M|Danse de comédie musicale|11e année|Filière préuniversitaire/précollégiale|55
ATU3O|Danse de comédie musicale|11e année|Ouvert|26
ATU4M|Danse de comédie musicale|12e année|Filière préuniversitaire/précollégiale|67
ATY4T|Movement and Dance|12e année|Cours collégial, enseigné par le collège (DRC)|<10
ATZ1O|Danses du monde : danses ethnoculturelles|9e année|Ouvert|18
ATZ2O|Danses du monde : danses ethnoculturelles|10e année|Ouvert|<10
AVA4T|Ideas and Imagery|12e année|Cours collégial, enseigné par le collège (DRC)|19
AVB4T|Visual Arts Oils|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AVD4T|Fashion Desgin|12e année|Cours collégial, enseigné par le collège (DRC)|37
AVI1O|Arts visuels|9e année|Ouvert|47001
AVI2O|Arts visuels|10e année|Ouvert|31284
AVI3M|Arts visuels|11e année|Filière préuniversitaire/précollégiale|17550
AVI3O|Arts visuels|11e année|Ouvert|4430
AVI4E|Arts visuels|12e année|Filière préemploi|591
AVI4M|Arts visuels|12e année|Filière préuniversitaire/précollégiale|11203
AWA1O|Métiers d'arts|9e année|Ouvert|400
AWA2O|Métiers d'arts|10e année|Ouvert|2271
AWA3M|Métiers d'arts|11e année|Filière préuniversitaire/précollégiale|110
AWA3O|Métiers d'arts|11e année|Ouvert|1859
AWA4M|Métiers d'arts|12e année|Filière préuniversitaire/précollégiale|288
AWC1O|Arts visuels - céramique et poterie|9e année|Ouvert|16
AWC2O|Arts visuels - céramique et poterie|10e année|Ouvert|551
AWC3M|Arts visuels - céramique et poterie|11e année|Filière préuniversitaire/précollégiale|401
AWC3O|Arts visuels - céramique et poterie|11e année|Ouvert|531
AWC4M|Arts visuels - céramique et poterie|12e année|Filière préuniversitaire/précollégiale|311
AWD1O|Arts visuels - design appliqué|9e année|Ouvert|262
AWD2O|Arts visuels - design appliqué|10e année|Ouvert|703
AWD3M|Arts visuels - design appliqué|11e année|Filière préuniversitaire/précollégiale|1063
AWD3O|Arts visuels - design appliqué|11e année|Ouvert|289
AWD4M|Arts visuels - design appliqué|12e année|Filière préuniversitaire/précollégiale|1381
AWE2O|Arts visuels - graphisme de communication|10e année|Ouvert|101
AWE3M|Arts visuels - graphisme de communication|11e année|Filière préuniversitaire/précollégiale|442
AWE3O|Arts visuels - graphisme de communication|11e année|Ouvert|116
AWE4M|Arts visuels - graphisme de communication|12e année|Filière préuniversitaire/précollégiale|599
AWF2O|Arts visuels - design industriel|10e année|Ouvert|56
AWF3M|Arts visuels - design industriel|11e année|Filière préuniversitaire/précollégiale|34
AWF3O|Arts visuels - design industriel|11e année|Ouvert|52
AWF4M|Arts visuels - design industriel|12e année|Filière préuniversitaire/précollégiale|72
AWG4M|Arts visuels - design d'environnement|12e année|Filière préuniversitaire/précollégiale|15
AWH3M|Arts visuels - design d'intérieur|11e année|Filière préuniversitaire/précollégiale|68
AWH3O|Arts visuels - design d'intérieur|11e année|Ouvert|129
AWH4M|Arts visuels - design d'intérieur|12e année|Filière préuniversitaire/précollégiale|74
AWI1O|Arts visuels - mode et textile|9e année|Ouvert|16
AWI2O|Arts visuels - mode et textile|10e année|Ouvert|206
AWI3M|Arts visuels - mode et textile|11e année|Filière préuniversitaire/précollégiale|188
AWI3O|Arts visuels - mode et textile|11e année|Ouvert|129
AWI4M|Arts visuels - mode et textile|12e année|Filière préuniversitaire/précollégiale|187
AWJ2O|Arts visuels - décor de spectacle|10e année|Ouvert|12
AWJ3M|Arts visuels - décor de spectacle|11e année|Filière préuniversitaire/précollégiale|45
AWJ3O|Arts visuels - décor de spectacle|11e année|Ouvert|57
AWJ4M|Décor de spectacle : danse, musique, théâtre et autre|12e année|Filière préuniversitaire/précollégiale|32
AWK1O|Arts visuels - illustration|9e année|Ouvert|54
AWK2O|Arts visuels - illustration|10e année|Ouvert|105
AWK3M|Arts visuels - illustration|11e année|Filière préuniversitaire/précollégiale|144
AWK3O|Arts visuels - illustration|11e année|Ouvert|101
AWK4M|Arts visuels - illustration|12e année|Filière préuniversitaire/précollégiale|285
AWL1O|Arts visuels - dessin|9e année|Ouvert|83
AWL2O|Arts visuels - dessin|10e année|Ouvert|74
AWL3M|Arts visuels - dessin|11e année|Filière préuniversitaire/précollégiale|302
AWL3O|Arts visuels - dessin|11e année|Ouvert|198
AWL4M|Arts visuels - dessin|12e année|Filière préuniversitaire/précollégiale|246
AWM1O|Arts visuels - dessin et peinture|9e année|Ouvert|298
AWM2O|Arts visuels - dessin et peinture|10e année|Ouvert|418
AWM3M|Arts visuels - dessin et peinture|11e année|Filière préuniversitaire/précollégiale|950
AWM3O|Arts visuels - dessin et peinture|11e année|Ouvert|170
AWM4M|Arts visuels - dessin et peinture|12e année|Filière préuniversitaire/précollégiale|1118
AWN1O|Arts visuels - peinture|9e année|Ouvert|22
AWN2O|Arts visuels - peinture|10e année|Ouvert|20
AWN3M|Arts visuels - peinture|11e année|Filière préuniversitaire/précollégiale|102
AWN3O|Arts visuels - peinture|11e année|Ouvert|77
