Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
AMS3O|Musique instrumentale - cordes|11e année|Ouvert|28
AMS4M|Musique instrumentale - cordes|12e année|Filière préuniversitaire/précollégiale|632
AMT1O|Théâtre musical|9e année|Ouvert|127
AMT2O|Théâtre musical|10e année|Ouvert|183
AMT3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|654
AMT3O|Théâtre musical|11e année|Ouvert|74
AMT4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|539
AMU1O|Musique|9e année|Ouvert|14109
AMU2O|Musique|10e année|Ouvert|6488
AMU3M|Musique|11e année|Filière préuniversitaire/précollégiale|3666
AMU3O|Musique|11e année|Ouvert|519
AMU4E|Musique|12e année|Filière préemploi|70
AMU4M|Musique|12e année|Filière préuniversitaire/précollégiale|2753
AMV1O|Musique vocale ou chorale|9e année|Ouvert|3664
AMV2O|Musique vocale ou chorale|10e année|Ouvert|4387
AMV3M|Musique vocale ou chorale|11e année|Filière préuniversitaire/précollégiale|2420
AMV3O|Musique vocale ou chorale|11e année|Ouvert|544
AMV4M|Musique vocale ou chorale|12e année|Filière préuniversitaire/précollégiale|2187
AMW1O|Musique - bois|9e année|Ouvert|123
AMW2O|Musique - bois|10e année|Ouvert|45
AMW3M|Musique - bois|11e année|Filière préuniversitaire/précollégiale|159
AMW4M|Musique - bois|12e année|Filière préuniversitaire/précollégiale|57
AMX3M|Musique - externe (conservatoire)|11e année|Filière préuniversitaire/précollégiale|248
AMX4M|Musique - externe (conservatoire)|12e année|Filière préuniversitaire/précollégiale|436
ASA4T|Media and the Arts|12e année|Cours collégial, enseigné par le collège (DRC)|11
ASM2O|Arts médiatiques|10e année|Ouvert|9066
ASM3M|Arts médiatiques|11e année|Filière préuniversitaire/précollégiale|2952
ASM3O|Arts médiatiques|11e année|Ouvert|2948
ASM4E|Arts médiatiques|12e année|Filière préemploi|167
ASM4M|Arts médiatiques|12e année|Filière préuniversitaire/précollégiale|2356
ATA4T|Basic Jazz |12e année|Cours collégial, enseigné par le collège (DRC)|<10
ATB1O|Danse - ballet|9e année|Ouvert|279
ATB2O|Danse - ballet|10e année|Ouvert|285
ATB3M|Danse - ballet|11e année|Filière préuniversitaire/précollégiale|274
ATB4M|Danse - ballet|12e année|Filière préuniversitaire/précollégiale|164
ATC1O|Danse|9e année|Ouvert|3507
ATC2O|Danse|10e année|Ouvert|4716
ATC3M|Danse|11e année|Filière préuniversitaire/précollégiale|2483
ATC3O|Danse|11e année|Ouvert|691
ATC4E|Danse|12e année|Filière préemploi|19
ATC4M|Danse|12e année|Filière préuniversitaire/précollégiale|1737
ATD1O|Composition chorégraphique|9e année|Ouvert|11
ATD2O|Composition chorégraphique|10e année|Ouvert|<10
ATD3M|Composition chorégraphique|11e année|Filière préuniversitaire/précollégiale|37
ATD4M|Composition chorégraphique|12e année|Filière préuniversitaire/précollégiale|231
ATF2O|Danse africaine|10e année|Ouvert|<10
ATF3M|Danse africaine|11e année|Filière préuniversitaire/précollégiale|<10
ATF4M|Danse africaine|12e année|Filière préuniversitaire/précollégiale|<10
ATH4M|Histoire de la danse|12e année|Filière préuniversitaire/précollégiale|<10
ATJ2O|Danse - jazz|10e année|Ouvert|121
ATJ3M|Danse - jazz|11e année|Filière préuniversitaire/précollégiale|32
ATJ3O|Danse - jazz|11e année|Ouvert|<10
ATJ4M|Danse - jazz|12e année|Filière préuniversitaire/précollégiale|36
ATL3M|Danse du Centre et du Sud de l'Amérique|11e année|Filière préuniversitaire/précollégiale|18
ATM1O|Danse moderne|9e année|Ouvert|270
ATM2O|Danse moderne|10e année|Ouvert|260
ATM3M|Danse moderne|11e année|Filière préuniversitaire/précollégiale|215
ATM4M|Danse moderne|12e année|Filière préuniversitaire/précollégiale|218
ATO2O|Danse de l'Asie/du Cercle du Pacifique|10e année|Ouvert|17
ATO3M|Danse de l'Asie/du Cercle du Pacifique|11e année|Filière préuniversitaire/précollégiale|11
ATO3O|Danse de l'Asie/du Cercle du Pacifique|11e année|Ouvert|<10
ATO4M|Danse de l'Asie/du Cercle du Pacifique|12e année|Filière préuniversitaire/précollégiale|<10
ATP1O|Danse - répétition de spectacle|9e année|Ouvert|191
ATP2O|Danse - répétition de spectacle|10e année|Ouvert|229
ATP3M|Danse - répétition de spectacle|11e année|Filière préuniversitaire/précollégiale|229
ATP3O|Danse - répétition de spectacle|11e année|Ouvert|<10
ATP4M|Danse - répétition de spectacle|12e année|Filière préuniversitaire/précollégiale|255
ATR2O|Danse urbaine et hip-hop|10e année|Ouvert|<10
ATR3M|Danse urbaine et hip-hop|11e année|Filière préuniversitaire/précollégiale|17
ATS2O|Danse de divertissement : danses populaires|10e année|Ouvert|16
ATS3O|Danse de divertissement : danses populaires|11e année|Ouvert|17
ATS4M|Danse de divertissement : danses populaires|12e année|Filière préuniversitaire/précollégiale|11
ATU2O|Danse de comédie musicale|10e année|Ouvert|18
ATU3M|Danse de comédie musicale|11e année|Filière préuniversitaire/précollégiale|35
ATU3O|Danse de comédie musicale|11e année|Ouvert|12
ATU4M|Danse de comédie musicale|12e année|Filière préuniversitaire/précollégiale|51
ATX4M|Danses des cultures francophones|12e année|Filière préuniversitaire/précollégiale|<10
ATY4T|Movement and Dance|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AVA4T|Ideas and Imagery|12e année|Cours collégial, enseigné par le collège (DRC)|21
AVB4T|Visual Arts Oils|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AVD4T|Fashion Desgin|12e année|Cours collégial, enseigné par le collège (DRC)|59
AVI1O|Arts visuels|9e année|Ouvert|47033
AVI2O|Arts visuels|10e année|Ouvert|30828
AVI3M|Arts visuels|11e année|Filière préuniversitaire/précollégiale|17239
AVI3O|Arts visuels|11e année|Ouvert|4415
